Study,Year,Country,Type,Patients,MedianAge,Female(%),Oxaliplatin,Irinotecan,push,civ,comments
Conroy,2011,France,A,171,61.0,65 (38.0),100,100,100,100,
Okusaka,2014,Japan,A,36,61.5,12 (33.3),100,100,100,100,
Todaka,2018,Japan,A,399 (241),63.0,133 (33.3),100,100,100,100,
Conroy,2011,France,B,171,61.0,65 (38.0),78,81,82,82,
Okusaka,2014,Japan,B,36,61.5,12 (33.3),71.0 (24.1–100),69.6 (17.4–100),15.9 (4.4–100),80.3 (49.6–100),
Todaka,2018,Japan,B,399 (241),63.0,133 (33.3),73,66,7,80,
Stein,2016,USA,C,68 (37),62.0,27 (39.7),100,75,75,100,
Yoshida,2017,Japan,C,31 (21),64.0,13 (41.9),100,83.3,0,100,
Li,2017,China,C,62,61.7*,20 (32.3),85,75,0,100,
Ozaka,2018,Japan,C,69,62.6,26 (37.7),100,83.3,0,100,
Wang,2019,China,C,65,56.0,22 (33.8),76.5,83.3,0,100,
Ramanathan,2019,USA,C,56,61.0,25 (44.6),100,100,0,100,
Wei,2019,China,C,38 (28),62.0,11 (28.9),85,75,0,100,
Vivaldi,2021,Italy,C,81,63.0,53 (51.0),100,91.7,0,133.3,
Stein,2016,USA,D,68 (37),62.0,27 (39.7),88.9,66.7,66.7,90.9,
Yoshida,2017,Japan,D,31 (21),64.0,13 (41.9),59.6 (13.8–100),60.6 (35.8–83.3),0,77.9 (32.1–100),
Ozaka,2018,Japan,D,69,62.6,26 (37.7),76.1,76.1,0,95.4,
